// © Stephen P. Morse,2003
// http://stevemorse.org/jcal/zipdetails.html
// Reformatted to: prefix,area,state
001,
002,
003,
004,
005,mid-island,NY
006,San Juan,PR
007,San Juan,PR
008,St Thomas,VI
009,San Juan,PR
010,Springfield,MA
011,Springfield,MA
012,Pittsfield,MA
013,Springfield,MA
014,central,MA
015,central,MA
016,Worcester,MA
017,central,MA
018,Middlesex-ESX,MA
019,Middlesex-ESX,MA
020,Brockton,MA
021,Boston,MA
022,Boston,MA
023,Brockton,MA
024,northwest Boston,MA
025,Cape Cod,MA
026,Cape Cod,MA
027,Fall River,MA
028,Providence,RI
029,Providence,RI
030,Manchester,NH
031,Manchester,NH
032,Manchester,NH
033,Concord,NH
034,Manchester,NH
035,northern,NH
036,south western,NH
037,north western,NH
038,Portsmouth,NH
039,south eastern,ME
040,Portland,ME
041,Portland,ME
042,Portland,ME
043,Portland,ME
044,Bangor,ME
045,Portland,ME
046,Bangor,ME
047,Bangor,ME
048,Portland,ME
049,Bangor,ME
050,White River Junction,VT
051,White River Junction,VT
052,White River Junction,VT
053,White River Junction,VT
054,Burlington,VT
055,Middlesex-ESX,MA
056,Burlington,VT
057,White River Junction,VT
058,White River Junction,VT
059,White River Junction,VT
060,Hartford,CT
061,Hartford,CT
062,Hartford,CT
063,southern,CT
064,southern,CT
065,New Haven,CT
066,Bridgeport,CT
067,Waterbury,CT
068,Stamford,CT
069,Stamford,CT
070,Newark,NJ
071,Newark,NJ
072,Elizabeth,NJ
073,Jersey City,NJ
074,Paterson,NJ
075,Paterson,NJ
076,Hackensack,NJ
077,Monmouth,NJ
078,western,NJ
079,western,NJ
080,southern,NJ
081,Camden,NJ
082,southern,NJ
083,southern,NJ
084,Atlantic City,NJ
085,Trenton,NJ
086,Trenton,NJ
087,Monmouth,NJ
088,Kilmer,NJ
089,New Brunswick,NJ
090,APO,AE
091,APO,AE
092,APO,AE
093,APO,AE
094,APO/FPO,AE
095,FPO,AE
096,APO/FPO,AE
097,APO/FPO,AE
098,APO/FPO,AE
099,APO/FPO,AE
100,New York,NY
101,New York,NY
102,New York,NY
103,Staten Island,NY
104,Bronx,NY
105,Westchester,NY
106,White Plains,NY
107,Yonkers,NY
108,New Rochelle,NY
109,Westchester,NY
110,Queens,NY
111,Long Island City,NY
112,Brooklyn,NY
113,Flushing,NY
114,Jamaica,NY
115,western Nassau,NY
116,Far Rockaway,NY
117,mid-island,NY
118,Hicksville,NY
119,mid-island,NY
120,Albany,NY
121,Albany,NY
122,Albany,NY
123,Schenectady,NY
124,mid-Hudson,NY
125,mid-Hudson,NY
126,Poughkeepsie,NY
127,mid-Hudson,NY
128,Glens Falls,NY
129,Plattsburgh,NY
130,Syracuse,NY
131,Syracuse,NY
132,Syracuse,NY
133,Utica,NY
134,Utica,NY
135,Utica,NY
136,Watertown,NY
137,Binghamton,NY
138,Binghamton,NY
139,Binghamton,NY
140,Buffalo,NY
141,Buffalo,NY
142,Buffalo,NY
143,Niagara Falls,NY
144,Rochester,NY
145,Rochester,NY
146,Rochester,NY
147,Jamestown,NY
148,Elmira,NY
149,Elmira,NY
150,Pittsburgh,PA
151,Pittsburgh,PA
152,Pittsburgh,PA
153,Pittsburgh,PA
154,Pittsburgh,PA
155,Johnstown,PA
156,Greensburg,PA
157,Johnstown,PA
158,Du Bois,PA
159,Johnstown,PA
160,New Castle,PA
161,New Castle,PA
162,New Castle,PA
163,Oil City,PA
164,Erie,PA
165,Erie,PA
166,Altoona,PA
167,Bradford,PA
168,Altoona,PA
169,Williamsport,PA
170,Harrisburg,PA
171,Harrisburg,PA
172,Harrisburg,PA
173,Lancaster,PA
174,York,PA
175,Lancaster,PA
176,Lancaster,PA
177,Williamsport,PA
178,Harrisburg,PA
179,Reading,PA
180,Lehigh Valley,PA
181,Allentown,PA
182,Wilkes Barre,PA
183,Lehigh Valey,PA
184,Scranton,PA
185,Scranton,PA
186,Wilkes Barre,PA
187,Wilkes Barre,PA
188,Scranton,PA
189,southeastern,PA
190,Philadelphia,PA
191,Philadelphia,PA
192,Philadelphia,PA
193,southeastern,PA
194,southeastern,PA
195,Reading,PA
196,Reading,PA
197,Wilmington,DE
198,Wilmington,DE
199,Wilmington,DE
200,Washington,DC
201,Dulles,VA
202,Washington,DC
203,Washington,DC
204,Washington,DC
205,Washington,DC
206,southern,MD
207,southern,MD
208,suburban,MD
209,Silver Springs,MD
210,Linthicum,MD
211,Linthicum,MD
212,Baltimore,MD
213,
214,Annapolis,MD
215,Cumberland,MD
216,eastern Shore,MD
217,Frederick,MD
218,Salisbury,MD
219,Baltimore,MD
220,northern,VA
221,northern,VA
222,Arlington,VA
223,Alexandria,VA
224,Richmond,VA
225,Richmond,VA
226,Winchester,VA
227,Culpeper,VA
228,Charlottesville,VA
229,Charlottesville,VA
230,Richmond,VA
231,Richmond,VA
232,Richmond,VA
233,Norfolk,VA
234,Norfolk,VA
235,Norfolk,VA
236,Norfolk,VA
237,Portsmouth,VA
238,Richmond,VA
239,Farmville,VA
240,Roanoke,VA
241,Roanoke,VA
242,Bristol,VA
243,Roanoke,VA
244,Charlottesville,VA
245,Lynchburg,VA
246,western,VA
247,Bluefield,WV
248,Bluefield,WV
249,Lewisburg,WV
250,Charleston,WV
251,Charleston,WV
252,Charleston,WV
253,Charleston,WV
254,Martinsburg,WV
255,Huntington,WV
256,Huntington,WV
257,Huntington,WV
258,Beckley,WV
259,Beckley,WV
260,Wheeling,WV
261,Parkersburg,WV
262,Clarksburg,WV
263,Clarksburg,WV
264,Clarksburg,WV
265,Clarksburg,WV
266,Gassaway,WV
267,eastern,WV
268,Petersburg,WV
269,
270,Greensboro,NC
271,Winston-Salem,NC
272,Greensboro,NC
273,Greensboro,NC
274,Greensboro,NC
275,Raleigh,NC
276,Raleigh,NC
277,Durham,NC
278,Rocky Mount,NC
279,Rocky Mount,NC
280,Charlotte,NC
281,Charlotte,NC
282,Charlotte,NC
283,Fayetteville,NC
284,Fayetteville,NC
285,Kinston,NC
286,Hickory,NC
287,Asheville,NC
288,Asheville,NC
289,Asheville,NC
290,Columbia,SC
291,Columbia,SC
292,Columbia,SC
293,Greenville,SC
294,Charleston,SC
295,Florence,SC
296,Greenville,SC
297,northern,SC
298,Aikin,SC
299,southern,SC
300,north metro,GA
301,north metro,GA
302,Atlanta,GA
303,Atlanta,GA
304,Swainsboro,GA
305,Athens,GA
306,Athens,GA
307,north western,GA
308,Augusta,GA
309,Augusta,GA
310,Macon,GA
311,Atlanta,GA
312,Macon,GA
313,Savannah,GA
314,Savannah,GA
315,Waycross,GA
316,Valdosta,GA
317,Albany,GA
318,Columbus,GA
319,Columbus,GA
320,Jacksonville,FL
321,Daytona Beach,FL
322,Jacksonville,FL
323,Tallahassee,FL
324,Panama City,FL
325,Pensacola,FL
326,Gainesville,FL
327,central,FL
328,Orlando,FL
